perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
SART1,0.5713,0.5511,1.954,0.0050,0.3440,0.3001,0.7429,0.6342,0.9390,0.6694,0.9539,0.7731,1,1,1,1,0.0526,0.0000,0.0000
SART3,0.4491,0.4088,2.884,0.0200,0.5520,0.1723,0.8447,0.6290,0.8338,0.5353,0.9851,0.7774,1,1,1,1,0.1111,0.1111,0.0526
SBNO1,0.2668,0.2766,9.930,0.0000,0.9668,0.8919,0.9855,0.9459,0.2556,0.1697,0.4522,0.3244,1,0,1,1,0.0000,0.1765,0.1111
SCAF1,0.3917,0.3932,-0.072,0.6650,0.4860,0.4148,0.7324,0.7410,0.8740,0.6809,0.9099,0.6715,1,1,1,1,0.1111,0.0000,0.0526
SCFD1,0.2999,0.3001,0.415,0.4500,0.6625,0.2789,0.8621,0.6709,0.7490,0.5067,0.9603,0.7416,1,1,1,1,0.1111,0.0000,0.0526
SDAD1,0.3248,0.3208,0.441,0.3400,0.3254,0.2892,0.7982,0.6649,0.9456,0.6023,0.9573,0.7470,1,1,1,1,0.0526,0.0000,0.0000
SDC1,0.2553,0.2473,1.599,0.0100,0.7390,0.3656,0.9062,0.6462,0.6737,0.4229,0.9308,0.7632,1,1,1,1,0.0526,0.1765,0.0000
SDE2,0.2773,0.2750,2.438,0.0150,0.7446,0.8380,0.9021,0.8894,0.6675,0.4316,0.5457,0.4572,1,1,1,1,0.1111,0.0526,0.1765
SDHC,0.0652,0.0506,1.966,0.0100,0.8853,0.6663,0.9837,0.8459,0.4650,0.1799,0.7457,0.5333,1,0,1,1,0.1111,0.1111,0.0000
SEH1L,0.4187,0.3844,1.797,0.0000,0.7034,0.3441,0.8676,0.6326,0.7108,0.4973,0.9389,0.7745,1,1,1,1,0.0526,0.1111,0.0000
