perturbation,matched_cosine,matched_pearson_r,specificity_z,gene_specific_p,within_K562_residual,within_RPE1_residual,cross_K562tgt_RPE1basis_residual,cross_RPE1tgt_K562basis_residual,within_K562_reachcos,cross_K562tgt_reachcos,within_RPE1_reachcos,cross_RPE1tgt_reachcos,verdict_within_K562,verdict_cross_K562tgt,verdict_within_RPE1,verdict_cross_RPE1tgt,recipe_jaccard_sametarget,recipe_jaccard_K562_crossbasis,recipe_jaccard_RPE1_crossbasis
AARS,0.4384,0.4428,1.991,0.0250,0.4941,0.3037,0.8332,0.6960,0.8694,0.5530,0.9528,0.7181,1,1,1,1,0.0000,0.0000,0.0526
AATF,0.1584,0.2033,0.905,0.1700,0.3116,0.3468,0.8657,0.6779,0.9502,0.5006,0.9379,0.7351,1,1,1,1,0.0526,0.0000,0.0000
ABCB7,0.2762,0.3029,0.790,0.1800,0.6700,0.2959,0.8682,0.6370,0.7424,0.4962,0.9552,0.7708,1,1,1,1,0.1765,0.0526,0.0000
ABCE1,0.5966,0.5905,2.819,0.0000,0.4741,0.5096,0.7863,0.6820,0.8805,0.6178,0.8604,0.7314,1,1,1,1,0.1111,0.0000,0.2500
ABCF1,0.5510,0.5463,2.682,0.0000,0.5165,0.3561,0.8245,0.6465,0.8563,0.5659,0.9344,0.7629,1,1,1,1,0.1111,0.0526,0.0526
ABT1,0.0524,0.0854,0.583,0.2500,0.6266,0.3464,0.9055,0.6586,0.7793,0.4243,0.9381,0.7525,1,1,1,1,0.1111,0.0526,0.0000
ACTB,0.2833,0.2821,4.346,0.0000,0.9095,0.8255,0.9553,0.9727,0.4156,0.2956,0.5645,0.2322,1,1,1,1,0.1765,0.1111,0.0000
ACTR6,0.1872,0.1861,6.133,0.0000,0.7813,0.6324,0.9593,0.8726,0.6242,0.2823,0.7746,0.4884,1,1,1,1,0.1111,0.1765,0.1765
ACTR8,0.3259,0.3278,5.922,0.0000,0.5894,0.6083,0.9502,0.7656,0.8078,0.3115,0.7937,0.6434,1,1,1,1,0.2500,0.1765,0.1765
AHCTF1,0.3893,0.3543,1.305,0.0000,0.7577,0.4780,0.8735,0.6884,0.6526,0.4868,0.8783,0.7253,1,1,1,1,0.0526,0.0000,0.1111
AKIRIN2,0.2243,0.2178,0.290,0.4500,0.7807,0.5895,0.9164,0.7624,0.6249,0.4004,0.8077,0.6471,1,1,1,1,0.1111,0.0526,0.1111
ALDOA,0.3745,0.3675,0.623,0.3000,0.5931,0.4860,0.8292,0.7060,0.8051,0.5590,0.8740,0.7082,1,1,1,1,0.1111,0.0526,0.0526
ALG13,0.1669,0.1529,1.037,0.0600,0.8799,0.6482,0.9620,0.7496,0.4752,0.2729,0.7615,0.6619,1,1,1,1,0.0000,0.0526,0.1111
ALG2,0.4450,0.4524,4.957,0.0000,0.7245,0.4173,0.8559,0.6037,0.6893,0.5172,0.9088,0.7972,1,1,1,1,0.3333,0.1765,0.1765
ANAPC2,0.2878,0.2403,0.483,0.3350,0.6745,0.5427,0.8798,0.7428,0.7383,0.4753,0.8399,0.6695,1,1,1,1,0.0526,0.0526,0.0000
ANKRD11,0.2598,0.2220,2.214,0.0150,0.8642,0.7063,0.9208,0.8069,0.5032,0.3900,0.7079,0.5908,1,1,1,1,0.0526,0.1765,0.0526
ARCN1,0.4242,0.4255,0.221,0.5500,0.4328,0.3547,0.7294,0.7222,0.9015,0.6841,0.9350,0.6917,1,1,1,1,0.1111,0.0000,0.0526
ARGLU1,0.2308,0.2368,5.776,0.0000,0.9030,0.7692,0.9646,0.8219,0.4296,0.2638,0.6390,0.5697,1,1,1,1,0.0526,0.0000,0.0000
ARIH1,0.0471,0.0256,-2.016,0.9600,0.7775,0.8186,0.9222,0.9586,0.6288,0.3867,0.5743,0.2847,1,1,1,1,0.0000,0.0526,0.0526
ARL2,0.3219,0.3076,1.291,0.0000,0.7331,0.7215,0.8997,0.8514,0.6801,0.4365,0.6925,0.5245,1,1,1,1,0.0526,0.0526,0.0000
ARMC7,0.2023,0.1976,1.615,0.0050,0.7370,0.3707,0.9384,0.6977,0.6759,0.3455,0.9288,0.7164,1,1,1,1,0.1765,0.1111,0.0000
ARPC4,0.1951,0.1830,2.866,0.0000,0.8450,0.3640,0.9740,0.6474,0.5347,0.2267,0.9314,0.7622,1,1,1,1,0.1765,0.0526,0.0000
ATF5,0.5347,0.5425,1.427,0.0050,0.3230,0.2431,0.7842,0.6472,0.9464,0.6205,0.9700,0.7623,1,1,1,1,0.2500,0.1111,0.0000
ATP6AP1,0.3990,0.4026,2.306,0.0000,0.6437,0.4952,0.8653,0.7459,0.7653,0.5013,0.8688,0.6661,1,1,1,1,0.1765,0.2500,0.0526
ATP6V0B,0.4044,0.4192,4.355,0.0000,0.7735,0.5341,0.9160,0.7664,0.6337,0.4011,0.8454,0.6423,1,1,1,1,0.1765,0.1111,0.1111
ATP6V0C,0.3430,0.3594,3.925,0.0000,0.6681,0.3985,0.8980,0.7179,0.7441,0.4401,0.9172,0.6962,1,1,1,1,0.2500,0.1111,0.1111
ATP6V1A,0.4091,0.4027,5.747,0.0000,0.7222,0.6151,0.8958,0.7963,0.6916,0.4445,0.7885,0.6049,1,1,1,1,0.1765,0.1765,0.0526
ATP6V1B2,0.5681,0.5814,3.410,0.0000,0.3904,0.3826,0.7675,0.7173,0.9207,0.6411,0.9239,0.6967,1,1,1,1,0.2500,0.1765,0.1111
ATR,0.3625,0.3114,1.938,0.0000,0.6704,0.2258,0.8775,0.5875,0.7420,0.4795,0.9742,0.8092,1,1,1,1,0.1111,0.0000,0.0526
ATRIP,0.3374,0.2903,1.318,0.0500,0.6868,0.2667,0.8580,0.6116,0.7269,0.5136,0.9638,0.7912,1,1,1,1,0.0526,0.1111,0.0000
BANP,0.0561,0.0728,2.182,0.0200,0.8978,0.3833,0.9826,0.6593,0.4405,0.1858,0.9236,0.7519,1,0,1,1,0.1111,0.1111,0.0000
BAP1,0.0315,0.0136,2.253,0.0300,0.8710,0.5158,0.9751,0.7221,0.4912,0.2217,0.8567,0.6918,1,1,1,1,0.0000,0.0526,0.0526
BCAS2,0.5193,0.5193,1.999,0.0000,0.4439,0.5428,0.7693,0.7411,0.8961,0.6389,0.8399,0.6714,1,1,1,1,0.1765,0.1765,0.1111
BDP1,0.5280,0.5265,1.555,0.0000,0.4596,0.3408,0.7880,0.7039,0.8881,0.6157,0.9402,0.7103,1,1,1,1,0.2500,0.0526,0.0526
BGLAP,0.3859,0.3825,0.734,0.1600,0.5418,0.4430,0.8201,0.6851,0.8405,0.5722,0.8965,0.7285,1,1,1,1,0.0526,0.0526,0.1111
BMS1,0.0508,0.0848,0.525,0.2900,0.7427,0.2726,0.9310,0.6513,0.6696,0.3651,0.9621,0.7589,1,1,1,1,0.0526,0.0526,0.0000
BNIP1,0.3820,0.3925,1.907,0.0050,0.6116,0.3005,0.8536,0.6782,0.7911,0.5210,0.9538,0.7349,1,1,1,1,0.2500,0.0526,0.0526
BOP1,0.1993,0.2257,-0.032,0.5950,0.7215,0.4929,0.9037,0.6994,0.6924,0.4283,0.8701,0.7147,1,1,1,1,0.0000,0.0526,0.0000
BRIX1,0.3827,0.3858,1.223,0.0300,0.5280,0.3465,0.8494,0.6909,0.8493,0.5278,0.9380,0.7229,1,1,1,1,0.1111,0.0000,0.0000
BTF3,0.3273,0.3311,1.922,0.0000,0.8034,0.3101,0.9181,0.6611,0.5954,0.3963,0.9507,0.7503,1,1,1,1,0.0526,0.0526,0.0526
BUD13,0.5755,0.5552,2.765,0.0050,0.3677,0.3313,0.7610,0.6621,0.9299,0.6487,0.9435,0.7494,1,1,1,1,0.2500,0.0526,0.0000
BUD31,0.2937,0.2395,1.939,0.0350,0.8081,0.3639,0.8960,0.6783,0.5891,0.4441,0.9314,0.7348,1,1,1,1,0.1111,0.0000,0.0000
CACTIN,0.5481,0.5220,2.229,0.0050,0.5596,0.2340,0.7929,0.6346,0.8287,0.6093,0.9722,0.7728,1,1,1,1,0.1765,0.0526,0.1111
CAPZB,0.3690,0.3789,4.082,0.0000,0.8136,0.7040,0.9183,0.8517,0.5814,0.3958,0.7102,0.5240,1,1,1,1,0.0526,0.0526,0.0526
CASP8AP2,0.2763,0.2812,2.949,0.0000,0.4404,0.4497,0.8900,0.6856,0.8978,0.4559,0.8932,0.7279,1,1,1,1,0.2500,0.0526,0.0526
CBLL1,0.3167,0.3130,5.017,0.0000,0.8581,0.7885,0.9405,0.8545,0.5135,0.3398,0.6151,0.5194,1,1,1,1,0.1111,0.1765,0.1765
CCDC174,0.4848,0.4769,1.438,0.0000,0.5324,0.4238,0.8165,0.6956,0.8465,0.5774,0.9057,0.7184,1,1,1,1,0.0526,0.1111,0.1765
CCDC59,0.2079,0.2189,1.288,0.0950,0.7240,0.2915,0.9087,0.6589,0.6898,0.4175,0.9566,0.7522,1,1,1,1,0.0526,0.0000,0.0000
CCDC84,0.3082,0.2949,0.629,0.2000,0.6789,0.5294,0.8624,0.7403,0.7342,0.5063,0.8483,0.6723,1,1,1,1,0.0526,0.0526,0.0526
CCNH,0.3337,0.3370,1.787,0.0200,0.6414,0.2769,0.8469,0.6716,0.7672,0.5318,0.9609,0.7409,1,1,1,1,0.2500,0.0526,0.0526
CCNK,0.2148,0.2152,3.177,0.0050,0.8106,0.9491,0.9483,0.9687,0.5856,0.3175,0.3151,0.2481,1,1,1,1,0.0526,0.0526,0.0526
CCT2,0.3600,0.3485,1.651,0.0000,0.3456,0.2758,0.8867,0.6632,0.9384,0.4623,0.9612,0.7485,1,1,1,1,0.3333,0.0000,0.0000
CCT3,0.2901,0.2740,0.999,0.0350,0.3703,0.2636,0.9051,0.6611,0.9289,0.4253,0.9646,0.7503,1,1,1,1,0.3333,0.0000,0.0000
CCT4,0.3291,0.3183,1.205,0.0200,0.3574,0.2368,0.8931,0.6460,0.9340,0.4498,0.9716,0.7633,1,1,1,1,0.3333,0.0526,0.0000
CCT6A,0.2853,0.2658,1.376,0.0100,0.4443,0.2309,0.9147,0.6476,0.8959,0.4040,0.9730,0.7620,1,1,1,1,0.3333,0.0526,0.0000
CCT7,0.2836,0.2798,1.755,0.0000,0.4135,0.2736,0.9120,0.6530,0.9105,0.4101,0.9619,0.7574,1,1,1,1,0.5385,0.0000,0.0000
CCT8,0.2823,0.2746,1.251,0.0000,0.5491,0.3028,0.9263,0.6380,0.8358,0.3768,0.9530,0.7700,1,1,1,1,0.3333,0.0000,0.0000
CD3EAP,0.1112,0.1510,0.232,0.4000,0.6080,0.2626,0.9169,0.6397,0.7940,0.3990,0.9649,0.7686,1,1,1,1,0.0000,0.0000,0.0526
CDAN1,0.1810,0.1983,0.562,0.3100,0.8047,0.4719,0.9402,0.6855,0.5937,0.3406,0.8816,0.7281,1,1,1,1,0.0526,0.0526,0.0526
CDC123,0.3064,0.2986,2.052,0.0500,0.7686,0.3852,0.9138,0.7078,0.6397,0.4062,0.9228,0.7064,1,1,1,1,0.0000,0.0526,0.0000
CDC16,0.4494,0.4270,1.736,0.0000,0.6376,0.3483,0.8467,0.6513,0.7704,0.5320,0.9374,0.7588,1,1,1,1,0.1765,0.0000,0.1111
CDC27,0.4280,0.4077,0.859,0.0700,0.6008,0.3903,0.8179,0.6597,0.7994,0.5754,0.9207,0.7516,1,1,1,1,0.0526,0.1111,0.1111
CDC5L,0.6069,0.6061,2.511,0.0000,0.4008,0.2657,0.7346,0.6503,0.9162,0.6785,0.9641,0.7597,1,1,1,1,0.1765,0.1111,0.0000
CDC6,0.3954,0.4019,1.731,0.0050,0.4846,0.2213,0.8469,0.6005,0.8747,0.5317,0.9752,0.7996,1,1,1,1,0.1111,0.0000,0.0526
CDC73,0.4716,0.4462,4.374,0.0000,0.4980,0.4463,0.8545,0.7304,0.8672,0.5194,0.8949,0.6830,1,1,1,1,0.1765,0.0526,0.1111
CDK1,0.5164,0.5149,1.033,0.0300,0.4297,0.2224,0.7611,0.5983,0.9030,0.6486,0.9750,0.8013,1,1,1,1,0.0000,0.0000,0.0526
CDK9,0.2066,0.1922,2.485,0.0050,0.8874,0.6884,0.9447,0.8089,0.4611,0.3280,0.7253,0.5880,1,1,1,1,0.0526,0.0526,0.0526
CEBPZ,0.2050,0.2117,0.290,0.4650,0.4743,0.2860,0.8695,0.6483,0.8804,0.4939,0.9582,0.7614,1,1,1,1,0.0526,0.0000,0.0526
CENPC,0.4523,0.4353,0.959,0.0750,0.5842,0.3762,0.7986,0.6698,0.8116,0.6018,0.9265,0.7425,1,1,1,1,0.0526,0.0000,0.0000
CENPE,0.3255,0.3063,0.767,0.1150,0.6447,0.4285,0.8729,0.6976,0.7644,0.4880,0.9036,0.7165,1,1,1,1,0.0000,0.0526,0.1111
CENPJ,0.3185,0.3603,1.386,0.0300,0.4123,0.3348,0.8566,0.6748,0.9111,0.5161,0.9423,0.7380,1,1,1,1,0.1111,0.0000,0.0526
CENPK,0.4687,0.4653,1.060,0.0750,0.5481,0.3378,0.7820,0.6342,0.8364,0.6233,0.9412,0.7732,1,1,1,1,0.0526,0.0526,0.0000
CEP192,0.3687,0.3446,0.819,0.1150,0.6924,0.3234,0.8503,0.6312,0.7215,0.5262,0.9463,0.7756,1,1,1,1,0.0000,0.0000,0.0526
CHAF1A,0.1823,0.1939,1.601,0.0150,0.5911,0.4183,0.9201,0.6532,0.8066,0.3917,0.9083,0.7572,1,1,1,1,0.1111,0.0000,0.0526
CHAF1B,0.3061,0.3124,2.416,0.0000,0.4934,0.3784,0.8888,0.6329,0.8698,0.4584,0.9256,0.7743,1,1,1,1,0.1111,0.0526,0.0526
CHCHD4,0.4921,0.4861,3.414,0.0000,0.6042,0.3072,0.8408,0.6264,0.7968,0.5413,0.9517,0.7795,1,1,1,1,0.2500,0.1765,0.0000
CHD4,0.2197,0.2115,3.786,0.0000,0.8778,0.6712,0.9732,0.7820,0.4790,0.2298,0.7413,0.6232,1,1,1,1,0.1111,0.0000,0.0000
CHEK1,0.2869,0.2672,0.973,0.1350,0.5267,0.3729,0.8159,0.6485,0.8501,0.5782,0.9279,0.7612,1,1,1,1,0.1765,0.1111,0.0526
CHERP,0.4569,0.4500,1.924,0.0000,0.7287,0.3818,0.8582,0.6533,0.6848,0.5134,0.9243,0.7571,1,1,1,1,0.3333,0.1111,0.3333
CHMP3,0.5255,0.5229,1.610,0.0100,0.3429,0.4474,0.7244,0.7287,0.9394,0.6894,0.8943,0.6849,1,1,1,1,0.1111,0.0526,0.0526
CHMP6,0.5262,0.5263,2.152,0.0000,0.3463,0.2694,0.7673,0.7074,0.9381,0.6413,0.9630,0.7069,1,1,1,1,0.2500,0.1111,0.0526
CIAPIN1,0.2645,0.2914,1.845,0.0650,0.6406,0.2798,0.9098,0.6213,0.7679,0.4151,0.9601,0.7836,1,1,1,1,0.1111,0.0000,0.0000
CINP,0.2332,0.2073,0.817,0.2200,0.7330,0.3286,0.9019,0.6397,0.6802,0.4320,0.9445,0.7686,1,1,1,1,0.0526,0.0000,0.0000
CKAP5,0.5141,0.4714,1.342,0.0050,0.6364,0.4372,0.7972,0.6574,0.7714,0.6038,0.8993,0.7535,1,1,1,1,0.0000,0.0000,0.0000
CLNS1A,0.3128,0.3287,1.474,0.0100,0.6926,0.4007,0.8973,0.6884,0.7213,0.4415,0.9162,0.7253,1,1,1,1,0.0000,0.1765,0.0000
CLP1,0.0603,0.0598,2.325,0.0200,0.8123,0.5688,0.9781,0.7525,0.5832,0.2081,0.8225,0.6586,1,1,1,1,0.1111,0.0526,0.0000
CLSPN,0.3918,0.3868,0.681,0.2150,0.6022,0.3959,0.8263,0.6726,0.7983,0.5633,0.9183,0.7400,1,1,1,1,0.0000,0.0000,0.0000
CLTC,0.3268,0.3291,1.230,0.0750,0.6783,0.5943,0.8807,0.7632,0.7347,0.4736,0.8042,0.6461,1,1,1,1,0.1111,0.0526,0.0000
CMTR1,0.5960,0.5702,6.959,0.0000,0.6258,0.7828,0.8425,0.7918,0.7800,0.5386,0.6223,0.6108,1,1,1,1,0.0526,0.0526,0.0526
CNIH4,-0.0263,-0.0265,-1.119,0.8500,0.7971,0.9315,0.9487,0.9752,0.6039,0.3162,0.3638,0.2214,1,1,1,1,0.0526,0.0526,0.0526
CNOT1,0.6773,0.6460,3.630,0.0000,0.5308,0.4675,0.7271,0.7352,0.8475,0.6865,0.8840,0.6778,1,1,1,1,0.2500,0.1765,0.1765
CNOT2,0.3727,0.3628,5.439,0.0000,0.6497,0.3490,0.8928,0.7165,0.7602,0.4504,0.9371,0.6976,1,1,1,1,0.1765,0.1111,0.1765
CNOT3,0.5190,0.5057,2.470,0.0000,0.5205,0.3686,0.8143,0.7101,0.8538,0.5804,0.9296,0.7041,1,1,1,1,0.1765,0.1111,0.2500
COG2,0.1306,0.1285,1.952,0.0250,0.8501,0.5802,0.9547,0.7755,0.5267,0.2976,0.8145,0.6314,1,1,1,1,0.1111,0.0526,0.0526
COPB1,0.3519,0.3533,-0.270,0.7950,0.5054,0.4421,0.7481,0.7688,0.8629,0.6636,0.8969,0.6395,1,1,1,1,0.1111,0.0000,0.0526
COPS2,0.1171,0.1079,1.687,0.0350,0.7337,0.3069,0.9606,0.6867,0.6795,0.2780,0.9518,0.7270,1,1,1,1,0.3333,0.0526,0.0000
COPS3,0.0829,0.0773,-0.067,0.6500,0.6942,0.3217,0.9461,0.7006,0.7198,0.3240,0.9468,0.7136,1,1,1,1,0.3333,0.0526,0.0000
COPS4,0.1718,0.1558,1.092,0.0800,0.4992,0.2708,0.9318,0.6801,0.8665,0.3631,0.9626,0.7331,1,1,1,1,0.4286,0.0000,0.0000
COPS5,0.0198,-0.0149,1.382,0.0700,0.7798,0.3452,0.9761,0.6752,0.6261,0.2171,0.9385,0.7376,1,1,1,1,0.2500,0.0526,0.0000
COPS6,0.1399,0.1107,1.373,0.0800,0.5430,0.2515,0.9331,0.6673,0.8397,0.3597,0.9678,0.7448,1,1,1,1,0.4286,0.0000,0.0000
COPS8,0.0708,0.0253,1.885,0.0350,0.7655,0.2678,0.9774,0.6727,0.6435,0.2115,0.9635,0.7399,1,1,1,1,0.2500,0.0000,0.0000
COX11,0.2679,0.2369,1.171,0.0500,0.8319,0.3803,0.9191,0.6745,0.5549,0.3940,0.9249,0.7383,1,1,1,1,0.0000,0.0526,0.0526
COX15,0.1670,0.1623,-0.133,0.6350,0.6818,0.8382,0.8991,0.9049,0.7316,0.4377,0.5453,0.4257,1,1,1,1,0.0526,0.0526,0.1765
CPSF1,0.3158,0.2895,3.193,0.0000,0.7564,0.3495,0.9205,0.6494,0.6541,0.3907,0.9370,0.7604,1,1,1,1,0.1765,0.0526,0.1111
CPSF3,0.3215,0.3219,2.848,0.0000,0.4167,0.2657,0.8761,0.6330,0.9091,0.4821,0.9641,0.7742,1,1,1,1,0.4286,0.1111,0.0526
CPSF4,0.4012,0.3614,3.274,0.0050,0.6424,0.4100,0.8851,0.6904,0.7663,0.4655,0.9121,0.7234,1,1,1,1,0.1765,0.1111,0.0526
CPSF6,0.3754,0.3970,3.289,0.0000,0.6794,0.4631,0.9000,0.7205,0.7338,0.4359,0.8863,0.6934,1,1,1,1,0.0526,0.0526,0.0526
CSE1L,0.4227,0.4507,2.562,0.0000,0.2958,0.2705,0.8475,0.6332,0.9553,0.5308,0.9627,0.7740,1,1,1,1,0.1765,0.0526,0.1111
CSNK2B,0.1820,0.1536,3.540,0.0000,0.8095,0.6310,0.9568,0.7831,0.5872,0.2909,0.7758,0.6219,1,1,1,1,0.0526,0.0000,0.0000
CSTF1,0.3425,0.3330,1.546,0.0050,0.6405,0.2235,0.9012,0.6208,0.7680,0.4334,0.9747,0.7840,1,1,1,1,0.1111,0.1111,0.0526
CSTF3,0.3921,0.3590,2.941,0.0000,0.7104,0.4615,0.9013,0.7178,0.7038,0.4333,0.8871,0.6963,1,1,1,1,0.0526,0.0526,0.0526
CTNNBL1,0.1736,0.1967,2.819,0.0000,0.8281,0.5155,0.9419,0.7050,0.5606,0.3360,0.8569,0.7092,1,1,1,1,0.1111,0.1111,0.1111
CTR9,0.5138,0.4673,2.781,0.0000,0.2920,0.5010,0.8106,0.7477,0.9564,0.5855,0.8654,0.6641,1,1,1,1,0.2500,0.1765,0.1765
CUL1,0.0888,0.0613,0.196,0.4950,0.8607,0.7804,0.9416,0.9458,0.5092,0.3366,0.6252,0.3247,1,1,1,1,0.1111,0.0000,0.0000
CUL2,0.1595,0.1663,0.274,0.4350,0.7211,0.3256,0.9298,0.6514,0.6929,0.3681,0.9455,0.7588,1,1,1,1,0.0526,0.0526,0.0526
CUL7,0.2109,0.2115,1.110,0.0650,0.8079,0.5451,0.9216,0.7551,0.5894,0.3881,0.8384,0.6556,1,1,1,1,0.0000,0.0000,0.0000
CWC15,0.5732,0.5774,2.611,0.0100,0.3327,0.3189,0.7205,0.6869,0.9430,0.6934,0.9478,0.7267,1,1,1,1,0.1111,0.0526,0.0526
CWF19L2,0.3733,0.3704,1.262,0.0950,0.4036,0.4415,0.7651,0.6658,0.9149,0.6439,0.8973,0.7461,1,1,1,1,0.0526,0.0526,0.0526
CXXC1,0.3737,0.3739,2.199,0.0000,0.6852,0.5272,0.8811,0.7494,0.7284,0.4729,0.8497,0.6621,1,1,1,1,0.3333,0.1111,0.1765
DAD1,0.3586,0.3661,6.679,0.0000,0.7620,0.4542,0.9059,0.6505,0.6476,0.4234,0.8909,0.7595,1,1,1,1,0.2500,0.1765,0.1765
DARS,0.5501,0.5315,2.003,0.0200,0.5286,0.3251,0.7664,0.6457,0.8489,0.6424,0.9457,0.7636,1,1,1,1,0.0526,0.0526,0.0000
DBR1,0.4929,0.4469,2.916,0.0000,0.7919,0.5957,0.8764,0.7433,0.6107,0.4816,0.8032,0.6689,1,1,1,1,0.0526,0.1111,0.0000
DCUN1D5,0.4264,0.4335,2.427,0.0000,0.5034,0.3089,0.8453,0.6841,0.8640,0.5343,0.9511,0.7294,1,1,1,1,0.1111,0.1111,0.1111
DDB1,0.1490,0.1837,-0.059,0.6250,0.6963,0.4546,0.9226,0.7037,0.7178,0.3857,0.8907,0.7105,1,1,1,1,0.0000,0.0526,0.0000
DDOST,0.4073,0.4026,5.011,0.0000,0.7728,0.5256,0.9094,0.6650,0.6347,0.4159,0.8507,0.7469,1,1,1,1,0.1111,0.1765,0.1111
DDX10,0.1422,0.1881,0.876,0.1850,0.5750,0.3019,0.8983,0.6373,0.8182,0.4393,0.9533,0.7706,1,1,1,1,0.0526,0.0000,0.0000
DDX20,0.4052,0.3950,1.487,0.0050,0.6333,0.3829,0.8405,0.6755,0.7739,0.5418,0.9238,0.7373,1,1,1,1,0.0526,0.1111,0.1111
DDX21,0.1137,0.1448,1.304,0.1050,0.6906,0.3149,0.9126,0.6687,0.7233,0.4088,0.9491,0.7436,1,1,1,1,0.0526,0.0000,0.0000
DDX23,0.5317,0.5318,2.447,0.0000,0.4452,0.2058,0.7978,0.6407,0.8954,0.6030,0.9786,0.7678,1,1,1,1,0.1111,0.0526,0.0526
DDX27,0.2147,0.2114,0.240,0.4900,0.6653,0.3177,0.8907,0.6781,0.7466,0.4547,0.9482,0.7349,1,1,1,1,0.0526,0.0000,0.0526
DDX41,0.5981,0.5686,2.372,0.0200,0.2714,0.4131,0.7038,0.7093,0.9625,0.7104,0.9107,0.7049,1,1,1,1,0.1765,0.1111,0.1765
DDX46,0.4508,0.4603,2.169,0.0050,0.5222,0.3118,0.8379,0.6601,0.8528,0.5459,0.9501,0.7511,1,1,1,1,0.3333,0.0526,0.1111
DDX47,0.2657,0.3205,1.556,0.0450,0.2184,0.2103,0.8319,0.6529,0.9759,0.5549,0.9776,0.7574,1,1,1,1,0.1111,0.0000,0.0000
DDX5,0.4147,0.4015,8.458,0.0000,0.9214,0.8129,0.9635,0.8858,0.3887,0.2678,0.5824,0.4641,1,1,1,1,0.1111,0.0526,0.0000
DDX51,0.1479,0.1625,0.377,0.3150,0.5686,0.3560,0.9131,0.6693,0.8226,0.4078,0.9345,0.7430,1,1,1,1,0.1111,0.0000,0.0000
DDX52,0.0789,0.1229,0.563,0.2300,0.5250,0.2989,0.8887,0.6461,0.8511,0.4585,0.9543,0.7633,1,1,1,1,0.0000,0.0526,0.0526
DDX54,0.2334,0.2371,0.157,0.5400,0.6484,0.4124,0.8788,0.6948,0.7613,0.4771,0.9110,0.7192,1,1,1,1,0.1111,0.0000,0.0526
DDX55,0.2155,0.1942,0.402,0.3500,0.6008,0.2755,0.8910,0.6354,0.7994,0.4540,0.9613,0.7722,1,1,1,1,0.1111,0.0526,0.0526
DDX56,0.3246,0.3408,0.808,0.1500,0.3452,0.3611,0.8099,0.6919,0.9385,0.5866,0.9325,0.7219,1,1,1,1,0.0000,0.0000,0.0526
DDX59,0.3345,0.3169,1.541,0.0050,0.8592,0.5291,0.9096,0.7281,0.5116,0.4155,0.8486,0.6855,1,1,1,1,0.0526,0.0526,0.0526
DENR,0.3859,0.3877,2.414,0.0000,0.8395,0.7557,0.9264,0.8500,0.5433,0.3764,0.6550,0.5268,1,1,1,1,0.0526,0.0526,0.2500
DERL2,0.5226,0.5241,3.045,0.0000,0.6348,0.2623,0.8197,0.5696,0.7727,0.5728,0.9650,0.8220,1,1,1,1,0.1111,0.1111,0.0526
DHDDS,0.6409,0.6360,3.699,0.0000,0.4927,0.3444,0.7165,0.6233,0.8702,0.6976,0.9388,0.7820,1,1,1,1,0.3333,0.3333,0.1111
DHX15,0.5949,0.5960,1.116,0.0000,0.4196,0.3940,0.6891,0.7160,0.9077,0.7247,0.9191,0.6981,1,1,1,1,0.1111,0.1111,0.0526
DHX16,0.6241,0.6090,2.660,0.0000,0.2730,0.2782,0.7199,0.6545,0.9620,0.6941,0.9605,0.7561,1,1,1,1,0.2500,0.1111,0.0000
DHX33,0.2950,0.3015,1.142,0.1000,0.7242,0.3790,0.8871,0.6903,0.6896,0.4615,0.9254,0.7235,1,1,1,1,0.0000,0.0526,0.0000
DHX36,0.3796,0.3664,3.444,0.0000,0.7318,0.6678,0.9029,0.7686,0.6815,0.4299,0.7443,0.6397,1,1,1,1,0.0526,0.0526,0.1765
DHX37,0.2736,0.2890,2.143,0.0400,0.4586,0.3484,0.8698,0.6500,0.8887,0.4934,0.9374,0.7599,1,1,1,1,0.0000,0.0000,0.1111
DICER1,0.2344,0.2356,2.381,0.0050,0.8370,0.7796,0.9373,0.8532,0.5472,0.3485,0.6263,0.5215,1,1,1,1,0.0526,0.1111,0.0526
DIMT1,0.2459,0.2691,1.305,0.1050,0.4977,0.3346,0.8808,0.6569,0.8674,0.4735,0.9423,0.7540,1,1,1,1,0.0000,0.0000,0.0526
DKC1,0.2056,0.2127,0.980,0.1500,0.8213,0.3841,0.9215,0.6957,0.5705,0.3884,0.9233,0.7183,1,1,1,1,0.0526,0.1111,0.0526
DLD,0.4035,0.4262,1.955,0.0050,0.3095,0.3230,0.8371,0.6370,0.9509,0.5470,0.9464,0.7708,1,1,1,1,0.0526,0.0526,0.0526
DMAP1,0.4326,0.4139,1.719,0.0000,0.4868,0.4405,0.8538,0.7298,0.8735,0.5206,0.8978,0.6836,1,1,1,1,0.1765,0.1111,0.0000
DNAJA3,0.3428,0.3456,0.982,0.0900,0.5397,0.5279,0.7486,0.6174,0.8418,0.6630,0.8493,0.7867,1,1,1,1,0.1765,0.1111,0.3333
DNAJC17,0.5309,0.5271,3.276,0.0000,0.5531,0.3021,0.8047,0.6628,0.8331,0.5937,0.9533,0.7488,1,1,1,1,0.0526,0.0000,0.0526
DNAJC8,0.2464,0.2477,2.544,0.0000,0.8487,0.8537,0.9438,0.9043,0.5289,0.3304,0.5208,0.4269,1,1,1,1,0.0000,0.0000,0.0526
