gene,condition_raw,donor_corr_all_mean,donor_corr_all_min,donor_corr_hits_mean,guide_corr_all,guide_corr_signif,ontarget_effect_size,ontarget_significant,n_cells_target
ABRAXAS1,Rest,,,,-0.0168557010814064,0.936053390416046,-7.482518766079222,True,559.0
ABRAXAS1,Stim48hr,,,,-0.0157157487912688,0.997649747219722,-9.209517363072884,True,518.0
ABRAXAS1,Stim8hr,,,,-0.0098099389486388,0.8498935264853372,-7.464487583993717,True,557.0
ABRAXAS2,Rest,,,,0.0213671902023752,,-5.193608218103071,True,825.0
ABRAXAS2,Stim48hr,,,,0.0398793795635473,,-4.730830105422178,True,814.0
ABRAXAS2,Stim8hr,,,,0.0006103559024025,,-5.664970128156896,True,765.0
ABT1,Stim8hr,0.3304838012149706,0.3024831494645773,0.7836871345350566,,,0.0,False,70.0
ABTB1,Rest,,,,0.0447226132635176,1.0,-9.501297393860623,True,1069.0
ABTB1,Stim48hr,,,,0.126334983442984,,-6.386832910070073,True,1021.0
ABTB1,Stim8hr,,,,0.0695943970630357,,-4.332099204904784,True,1038.0
ABTB2,Rest,,,,-0.0080080800192659,,-1.7684972416590683,False,759.0
ABTB2,Stim48hr,,,,0.0365308600146253,-1.0,-4.1677611381250586,False,761.0
ABTB2,Stim8hr,,,,0.0075876204235293,0.969608322560966,-8.777885590029738,True,729.0
ACAA1,Rest,,,,0.0657625928534622,0.3141199678598088,-17.15562368958539,True,489.0
ACAA1,Stim48hr,,,,0.0585486662953277,0.1900592630367132,-18.501939218951296,True,532.0
ACAA1,Stim8hr,,,,0.1016003090142561,-0.1700350531276484,-15.50399448890383,True,473.0
ACAA2,Rest,,,,0.0937853409635101,0.0534183154983587,-18.607822515403907,True,724.0
ACAA2,Stim48hr,,,,-0.0195926379635537,0.1886156362798162,-28.82606034227321,True,907.0
ACAA2,Stim8hr,,,,0.0682976429257829,-0.0837221749979237,-18.8140503262916,True,886.0
ACACA,Rest,,,,0.041318536640003,0.8418329778028049,-10.125767075395588,True,984.0
ACACA,Stim48hr,0.0850449657066722,0.0619164600775313,0.8312625624717599,0.1186616749454145,0.9158926676378726,-20.43050566625164,True,904.0
ACACA,Stim8hr,,,,0.028363053257003,1.0,-25.676848121599715,True,1021.0
ACACB,Rest,,,,0.080111979635434,,0.1560680224901953,False,1525.0
ACACB,Stim48hr,,,,0.0545939231653516,,-1.7029773414994809,False,1424.0
ACACB,Stim8hr,,,,0.0720776636851673,,0.3612891454428207,False,1354.0
ACAD10,Rest,,,,0.0119974798501461,0.4247415251109295,-6.311829213778961,True,1439.0
ACAD10,Stim48hr,,,,0.0356461113438573,1.0,-7.856033569920333,True,1458.0
ACAD10,Stim8hr,,,,0.0433452590368738,0.9125721540258632,-6.494557654794206,True,1357.0
ACAD11,Rest,0.1045643202362187,0.1016833669659322,0.7775551725830009,0.0783319597487617,0.612671212582377,-6.992464519773006,True,501.0
ACAD11,Stim48hr,0.0836012421839782,0.0653289911576816,0.7707770064737253,0.1391066289850915,0.8877343891850555,-8.946814157951534,True,366.0
ACAD11,Stim8hr,0.0753396165501651,0.0225206708854553,0.6989445527088508,0.1588297727731177,0.5572370059258839,-7.961079723779544,True,378.0
ACAD8,Rest,,,,0.0441735064625849,1.0,-9.093694461215238,True,580.0
ACAD8,Stim48hr,,,,0.0524718513502378,-1.0,-9.302343832192278,True,569.0
ACAD8,Stim8hr,,,,0.106498357793575,1.0,-8.401968949315815,True,480.0
ACAD9,Rest,,,,0.1495802450131477,,-15.710960197748625,True,901.0
ACAD9,Stim48hr,0.1514493126070094,0.1439911525575112,0.85008794709747,0.2198343740477962,0.7326117837146326,-13.76778940119318,True,688.0
ACAD9,Stim8hr,,,,0.1484235655379887,,-20.77282953759597,True,916.0
ACADM,Rest,,,,-0.0112021923668877,1.0,-24.700487129042493,True,975.0
ACADM,Stim48hr,,,,0.0188096592480357,1.0,-31.728180206904582,True,1004.0
ACADM,Stim8hr,,,,0.0591304700087159,1.0,-27.302378279097024,True,866.0
ACADS,Rest,,,,,,-5.524510252749534,True,302.0
ACADS,Stim48hr,,,,0.1106957529902778,0.0390614312726214,-6.444572377748192,True,352.0
ACADS,Stim8hr,,,,0.1803754415897395,0.4796809989543937,-4.644968559334483,True,264.0
ACADSB,Rest,,,,0.1268824816662395,0.4528405020559318,-10.546664559011385,True,921.0
ACADSB,Stim48hr,,,,0.1845002922974841,0.3430457627504766,-10.338233797033178,True,873.0
ACADSB,Stim8hr,,,,0.1588087880674693,0.6433174507700539,-10.793922297989145,True,857.0
ACADVL,Rest,,,,-0.0205089302347646,0.4720653367771859,-17.430877721373456,True,351.0
ACADVL,Stim48hr,,,,0.0370180996828166,0.4986778984642455,-23.501430155244044,True,382.0
ACADVL,Stim8hr,,,,-0.0148591744043614,0.5702996471661285,-14.206587798661484,True,339.0
ACAP1,Rest,,,,0.076089456805943,,-30.470077543562304,True,701.0
ACAP1,Stim48hr,,,,0.1212759118241534,0.9935502617631304,-33.30900588818441,True,676.0
ACAP1,Stim8hr,,,,0.0460464111226669,,-15.356907565642652,True,690.0
ACAP2,Rest,,,,,,-17.949844804126617,True,537.0
ACAP2,Stim48hr,,,,-0.070945243741007,-1.0,-15.148866501487383,True,484.0
ACAP2,Stim8hr,,,,,,-13.06363838424463,True,507.0
ACAP3,Rest,,,,-0.0507261564423486,0.9319614554354568,-7.597832922463418,True,411.0
ACAP3,Stim48hr,,,,,,-5.209033315034143,True,472.0
ACAP3,Stim8hr,,,,0.0008969624186693,,-5.256571702968566,True,489.0
ACAT1,Rest,,,,0.0020242165714076,,-6.987901050482689,True,740.0
ACAT1,Stim48hr,,,,0.1030125468924411,,-10.938883038900965,True,718.0
ACAT1,Stim8hr,,,,0.0811222140792751,,-11.699243723856718,True,679.0
ACAT2,Rest,,,,0.1325878275875329,0.8314935498393643,-13.58042969491115,True,466.0
ACAT2,Stim48hr,,,,0.108179414034368,0.524629985696163,-21.53684097158562,True,505.0
